100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
